Name,Target Muscle,Type,MET Value,Description,Difficulty,Caution,Youtube Links,Time Segment
Side Lunge Heel-Touch,Abdominals,Strength,4.5,1. Step your right leg out to a side lunge.  2. Reach your left hand across to touch your right heel.  3. Push off and return to standing.  4. Repeat on the opposite side.,Intermediate,None,https://youtube.com/shorts/6WhwL5npYGw?si=WFgae4VOkEWthnmZ,
Straight Arm Plank Pike,Abdominals,Core,4.5,1. Start in a straight-arm plank position.  2. Lift your hips up toward the ceiling into a pike position.  3. Lower back down slowly.  4. Engage your core throughout.,Intermediate,None,https://youtu.be/d_B55dng_bs?si=CEFk_NkTn5NUziFm,
Side Kick,Quadriceps,Cardio,4.5,1. Stand tall with hands in front of chest.  2. Shift your weight to your left leg.  3. Kick your right leg out to the side.  4. Lower it down with control and repeat.,Intermediate,None,https://youtube.com/shorts/GJ1_p_Nz2T8?si=9CM_56Avsrscw_g5,
Crab Reach to Crab Kick,Abdominals,Strength,4.5,1. Sit in a crab position with hands behind you and hips lifted.  2. Reach your left arm across your body while lifting your hips.  3. Return to crab and kick your right leg up.  4. Alternate sides.,Intermediate,"Plyometric, HIIT",Link not available,
"Glute Bridge Step-Out, Step-In",Abdominals,Strength,4.5,"1. Lie on your back with knees bent and feet hip-width apart.  2. Lift hips into a bridge.  3. Step one foot out to the side, then return.  4. Alternate legs while keeping hips lifted. ",Beginner,None,https://youtube.com/shorts/T3L0wNY3S5U?si=l5ikm0CtB9hsy5c_,
Single-Leg Inchworm,Abdominals,Strength,4.5,1. Stand on one leg and reach your hands toward the floor.  2. Walk your hands forward into a plank.  3. Walk hands back and stand up.  4. Switch legs after reps.,Intermediate,None,https://youtube.com/shorts/GnnHwzmGeTk?si=fzoLVEImhDin1SUQ,
Boat Pull-Over,Abdominals,Strength,4.5,1. Sit in boat pose with legs raised and core tight.  2. Hold a light weight or object overhead.  3. Pull it slowly down toward your knees.  4. Return to overhead.,Intermediate,None,Link not available,
Lunge with Overhead Reach,Abdominals,Strength,4.5,"1. Step forward into a lunge.  2. Reach both arms overhead.  3. Hold briefly, then return to standing.  4. Alternate legs.",Beginner,None,https://youtube.com/shorts/JoNV4XQi7jI?si=vMDh-2v4ufYmRyw5,
Right Side Elbow Plank with Left Leg Swing,Abdominals,Core,4.5,1. Get into a right-side elbow plank.  2. Raise and swing your left leg forward and backward.  3. Keep hips stable and core tight.,Advanced,Isometric Hold,https://youtube.com/shorts/xkaJrmEiOwc?si=-Hbf-bhVQTrIwZ-H,
Left Side Elbow Plank with Right Leg Swing,Abdominals,Core,4.5,1. Begin in a left-side elbow plank position.  2. Lift your right leg and swing it forward and backward.  3. Keep hips steady and core engaged.  5. Switch sides if desired.,Advanced,Isometric Hold,https://youtube.com/shorts/xkaJrmEiOwc?si=-Hbf-bhVQTrIwZ-H,
Straight Plank with Alternating Diagonal Sit-Back,Abdominals,Core,4.5,"1. Start in a straight-arm plank position.  2. Push your hips back diagonally toward your right heel.  3. Return to center, then push toward the left heel.  4. Keep arms extended and core tight.",Advanced,None,Link not available,
Close push-up to wide push-up,Chest,Strength,4.5,1. Begin in a push-up position with hands close together.  2. Perform a close-grip push-up.  3. Walk hands outward to wide position.  4. Perform a wide push-up.,Intermediate,None,https://youtube.com/shorts/7YECOcjohj0?si=rGCELuadpP5IagiE,
Scapular push-up,Chest,Strength,4.5,"1. Start in a straight-arm plank.  2. Without bending elbows, squeeze shoulder blades together.  3. Push them apart to return to starting position.  4. Maintain a straight back. 5. Perform slow reps.",Beginner,None,https://youtube.com/shorts/SBPRhZI2RkI?si=hD4QOwE5Xk7sWd6s,
Supine Double Pike,Abdominals,Core,4.5,1. Lie on your back with legs extended and arms overhead.  2. Simultaneously lift your arms and legs to meet in the middle.  3. Reach hands toward toes in a pike position.  4. Lower slowly.,Advanced,None,Link not available,
Feet-elevated bench dip,Triceps,Strength,4.5,"1. Place hands on a bench behind you, feet elevated on another surface.  2. Lower your body by bending your elbows.  3. Push back up to starting position.  4. Keep elbows close to your body.",Intermediate,None,https://youtu.be/fdmxpd8OK1o?si=M6PVSrTRgIDn8_m_,
Wall Shoulder Tap,Shoulders,Strength,4.5,1. Face a wall and assume a standing or inclined plank.  2. Lift one hand to tap the opposite shoulder.  3. Alternate sides.  4. Keep body straight and hips stable.,Intermediate,None,https://youtube.com/shorts/YZtGc_REbWA?si=vHGq03OWhLW5q_S9,
Return Push from Stance,Shoulders,Strength,4.5,1. Begin in a split stance with arms extended forward.  2. Push off the front foot and return to standing.  3. Control the movement and keep posture upright.  4. Alternate sides.,Intermediate,None,Link not available,
Forward lunge,Quadriceps,Strength,4.5,1. Stand tall with feet hip-width apart.  2. Step forward with one leg and lower until both knees are at 90°.  3. Push off the front foot to return.  4. Alternate legs.,Beginner,None,https://youtube.com/shorts/bZ67F0RJPUM?si=ELJTAHl2YrVIXgif,
Single-leg glute bridge,Glutes,Strength,4.5,"1. Lie on your back with one knee bent, other leg extended.  2. Lift your hips by pressing through the heel.  3. Squeeze glutes at the top.  4. Lower slowly and repeat.",Intermediate,None,https://youtube.com/shorts/_MOLIBZAVig?si=3bQrMNHAESYHzIVH,
Alternating Donkey Kick,Glutes,Strength,4.5,"1. Get on all fours with knees under hips.  2. Kick your right leg upward, keeping knee bent.  3. Lower and switch legs.  4. Keep your core tight.",Beginner,None,https://youtu.be/D1uB-s0ILNs?si=b3kWaseggN2f0tbp,
Alternating Side Iron Cross,Glutes,Strength,4.5,1. Lie on your back with arms extended.  2. Lift one leg and rotate it across your body toward the opposite hand.  3. Return and repeat with the other leg.  4. Keep shoulders down.,Intermediate,None,https://youtu.be/bDcBIlqt_M0?si=MPkTeEuf9eYq791i,
Lateral Lunge,Quadriceps,Strength,4.5,"1. Stand tall, feet hip-width apart.  2. Step out to the side with your right leg, lowering into a lunge.  3. Push off and return to center.  4. Alternate sides. ",Intermediate,None,https://youtu.be/MvpBUsQrt_4?si=082omL7KwMy0Trc7,
Squat with Alternating Leg Lift,Quadriceps,Strength,4.5,"1. Stand with feet shoulder-width apart.  2. Perform a squat.  3. As you rise, extend one leg straight out in front.  4. Alternate legs each rep.",Intermediate,None,https://youtube.com/shorts/Uz-QOx2OQz0?si=l0FVteL2kzAj5tez,
Single-Leg Deadlift Walk,Hamstrings,Core,4.5,1. Stand tall with feet hip-width apart.  2. Hinge at the hips while lifting one leg straight behind you.  3. Reach toward the ground with both hands.  4. Step forward and repeat on the other leg in a walking motion.,Intermediate,None,https://youtube.com/shorts/iRKxRm0zLgA?si=2Ocj8VDrDty9KOnR,
Natural Glute Ham Raise,Hamstrings,Strength,4.8,1. Kneel on the floor with ankles anchored.  2. Slowly lower your torso forward from the knees while keeping your back straight.  3. Engage hamstrings and glutes to return to upright position.  4. Use arms for assistance if needed.,Advanced,None,Link not available,
Eiffel Tower Leg Raise,Abdominals,Core,4.8,1. Lie on your back with legs straight and arms extended overhead in a “V” shape.  2. Raise legs upward while bringing arms toward toes.  3. Keep core tight and lower with control.  4. Return to starting position.,Advanced,None,Link not available,
Plank Fire Hydrants,Abdominals,Core,4.8,"1. Start in a forearm plank position.  2. Lift one leg out to the side, keeping knee bent.  3. Lower it back with control.  4. Alternate sides while maintaining plank form.",Intermediate,None,https://youtu.be/cc4-Bvd_Mv8?si=9KiNz26n0bsfpLAy,
Seated Scissor Kick,Abdominals,Core,4.8,"1. Sit with hands slightly behind you, legs extended off the ground.  2. Alternate crossing your legs over and under each other in a scissor motion.  3. Keep your core tight and back straight throughout.",Intermediate,HIIT,Link not available,
Shoulder Tap to Hand Tap,Abdominals,Core,4.8,"1. Start in a plank position.  2. Tap one hand to the opposite shoulder.  3. Then reach down and tap the opposite hand.  4. Alternate sides, keeping hips stable.",Intermediate,None,https://youtube.com/shorts/_HLBaxNi_-w?si=z0OBcMYuIPtQjF18,
Inchworm,Abdominals,Strength,4.8,"1. Stand tall, then bend at the hips and walk your hands forward into a plank.  2. Perform a brief hold, then walk feet toward hands.  3. Return to standing and repeat.",Beginner,None,Link not available,
Step-up with knee raise,Glutes,Strength,4.8,1. Stand in front of a bench or platform.  2. Step up with one foot and drive the opposite knee upward.  3. Step down and alternate legs.  4. Keep your torso upright.,Beginner,None,https://youtu.be/pv_8CdDPAAk?si=h2OuionvkJm5SFET,
Side Kick-Through,Abdominals,Cardio,5,1. Start in a tabletop position on hands and feet.  2. Rotate your hips and kick one leg under and through to the opposite side.  3. Return to center and switch sides.,Advanced,"Plyometric, HIIT",https://youtu.be/WIOWBm4gZF0?si=W2bV_MwjLdFTiS4v,
Single-Leg V-Up,Abdominals,Core,5,1. Lie flat with arms extended overhead.  2. Lift one leg and reach both hands toward the foot.  3. Lower and repeat on the opposite leg.  4. Keep core activated throughout.,Advanced,None,https://youtu.be/0EIDVDbzVNo?si=08Qa3CvCe1YE1oFq,
Elbow Plank Saw,Abdominals,Core,5,1. Begin in an elbow plank position.  2. Rock your body forward and backward using your toes.  3. Keep your body straight and core tight throughout the motion.,Advanced,Isometric Hold,https://youtube.com/shorts/SNw27niRKTU?si=I6tJhvU3AMpj_gee,
Feet-Elevated Straight Plank Toe-Tap Series,Abdominals,Core,5,"1. Get into a straight-arm plank with feet elevated on a bench.  2. Tap one foot to the side, then return.  3. Alternate sides.  4. Maintain a tight core and flat back.",Advanced,Isometric Hold,https://youtu.be/pW994KMWBiM?si=MLtMTuPDFTfEJues,
Spider crawl,Abdominals,Cardio,5,1. Begin in a plank position.  2. Step one foot outside the same-side hand.  3. Alternate steps forward while keeping hips low and hands on the ground.,Intermediate,"Mobility, HIIT",https://youtu.be/NvQ9MHHWsb0?si=vSzebkWBaEaiOVkj,
Elbow Plank to Stacked Plank Hip Drop,Abdominals,Core,5,"1. Start in an elbow plank.  2. Transition to a side plank by stacking your feet and rotating your torso.  3. Drop the hips slightly, then lift them back.  4. Return to center and switch sides.",Advanced,Isometric Hold,Link not available,
Hands-Elevated Hill Climber,Abdominals,Cardio,5,1. Place hands on an elevated surface in plank position.  2. Drive one knee toward the chest.  3. Alternate legs quickly while keeping core tight.  4. Maintain a flat back throughout.,Beginner,HIIT,https://youtube.com/shorts/C9TBLyDtzVE?si=y7NtCNMkD2sAYuhP,
Feet-Elevated Plank Reach,Abdominals,Core,5,1. Begin in a straight-arm plank with feet elevated.  2. Reach one hand forward without rotating the hips.  3. Return and alternate sides.  4. Maintain full-body tension and control.,Advanced,Isometric Hold,https://youtu.be/K2bAfsZuLwg?si=BI5mllyzrjtOukwV,
V-up,Abdominals,Core,5,1. Lie on your back with legs straight and arms overhead.  2. Simultaneously lift legs and arms to form a “V” shape.  3. Reach hands toward toes.  4. Lower with control and repeat.,Intermediate,None,https://youtube.com/shorts/saHkR_MvIdA?si=OJ8cS8l520zxu6_G,
Pillar-to-Plank,Abdominals,Core,5,1. Start in a high kneeling “pillar” position.  2. Step one foot out at a time into plank.  3. Reverse to return to kneeling.  4. Keep movements controlled and abs engaged.,Intermediate,None,Link not available,
Knee-In to V-Out,Abdominals,Core,5,"1. Begin in a seated position with hands behind you.  2. Pull knees to chest, then extend legs out in a V shape.  3. Return and repeat.  4. Keep back straight and abs engaged.",Intermediate,None,https://youtu.be/2HDo6RLrwZA?si=hUlg4Mmx6-zsha9c,
Side V-Up,Abdominals,Core,5,"1. Lie on your side with legs stacked and one arm extended.  2. Lift both legs and upper body, reaching toward your feet.  3. Lower with control.  4. Repeat on the same side before switching.",Intermediate,None,https://youtube.com/shorts/SbX3kEoUJmg?si=28q7TB0WsmDpvYJY,
Flutter Kick,Abdominals,Core,5,1. Lie on your back with legs extended.  2. Lift legs slightly off the ground and alternate quick kicks.  3. Keep core engaged and lower back flat.  4. Continue without letting feet touch the floor.,Beginner,None,https://youtube.com/shorts/Cz6iXfmgtiw?si=Zt9nbL89LfbEo8iK,
Bicycle Crunch,Abdominals,Core,5,1. Lie on your back with hands behind your head.  2. Bring one elbow toward the opposite knee while extending the other leg.  3. Alternate sides in a pedaling motion.  4. Engage abs and avoid pulling the neck.,Beginner,HIIT,https://youtube.com/shorts/CakPX7X-mSw?si=QK-BenSjoxf1GZtD,
Feet-Elevated Hand Tap,Abdominals,Core,5,1. Assume a straight-arm plank with feet elevated.  2. Tap one hand to the opposite shoulder or floor.  3. Alternate taps while maintaining a stable core.  4. Keep body straight and hips level.,Intermediate,None,https://youtube.com/shorts/643c_UblR40?si=ORw3-ZiEqJcbddeA,
In-Out Straight Plank,Abdominals,Core,5,"1. Begin in a straight-arm plank.  2. Jump or step feet apart, then back together.  3. Keep hips low and core tight.  4. Maintain a steady pace with control.",Intermediate,None,Link not available,
Elbow Plank to Walk-Up Pike,Abdominals,Core,5,"1. Start in an elbow plank.  2. Walk feet toward hands, lifting hips into a pike.  3. Walk back to plank.  4. Keep core tight and movements smooth.",Intermediate,Isometric Hold,Link not available,
Hovering Panther Core Stabilizer,Abdominals,Core,5,"1. Begin on hands and knees with toes tucked.  2. Lift knees slightly off the ground into a hover.  3. Hold this position, keeping back flat and core tight.  4. Breathe steadily.",Intermediate,Isometric Hold,Link not available,
Alternating Leg 7-Up Crunch,Abdominals,Core,5,"1. Lie on your back with legs straight.  2. Raise one leg and crunch upward, reaching both arms toward the raised leg.  3. Lower and switch sides.  4. Keep movement controlled and core engaged.",Intermediate,None,Link not available,
High Plank w/Alternating Arm & Leg Lift,Abdominals,Core,5,1. Begin in a straight-arm plank.  2. Lift one arm and opposite leg simultaneously in a diagonal direction.  3. Return and alternate sides.  4. Maintain balance and core stability.,Intermediate,None,https://youtube.com/shorts/9sl0IMLZMbw?si=AXU4eAOSArzzzhfB,
Reverse lunge,Hamstrings,Strength,5,1. Stand tall with feet together.  2. Step one foot back and lower into a lunge.  3. Return to standing and alternate legs.  4. Keep front knee aligned with ankle.,Intermediate,None,https://youtu.be/xrPteyQLGAo?si=XAp7C65JoNBpGyYm,
Neck Bridge Prone,Middle Back,Strength,5,"1. Lie on your stomach with hands near shoulders.  2. Push your torso up and place the top of your head on the floor.  3. Press into the floor and raise your body, arching your back.  4. Keep tension through your neck and spine.",Advanced,None,https://youtube.com/shorts/V4yQztdWF7U?si=rxJ53jzWSeXjOC5G,
Curtsy lunge,Glutes,Strength,5,1. Stand with feet hip-width apart.  2. Step one leg diagonally behind the other and lower into a lunge.  3. Return to standing and alternate legs.  4. Keep torso upright.,Intermediate,None,https://youtube.com/shorts/NCzebKJUN8c?si=hWVnHa04BqgTT_a9,
Sumo Squat,Quadriceps,Strength,5,"1. Stand with feet wider than shoulder-width, toes slightly out.  2. Lower your hips straight down.  3. Keep chest lifted and knees tracking over toes.  4. Rise back up with control.",Intermediate,None,https://youtube.com/shorts/c44X65gbyHQ?si=1K_Ni1ZoUwJZkK5H,
Bootstrapper Squat,Quadriceps,Strength,5,"1. Begin in a deep squat, grabbing your toes.  2. Extend your legs to raise hips while keeping hands on toes.  3. Return to deep squat and repeat.  4. Maintain a flat back.",Intermediate,None,https://youtu.be/OjpXK6z9GiI?si=I6wgnIUH1qAi0ebh,
Spider Lunge,Quadriceps,Strength,5,1. Begin in a plank position.  2. Step one foot outside your hand and lower hips.  3. Return and switch sides.  4. Keep back flat and core tight.,Intermediate,None,https://youtu.be/oXryybyUGCY?si=z2ydnTWS3WUdc1Na,
Crossover Reverse Lunge,Lower Back,Strength,5,1. Stand tall with feet hip-width apart.  2. Step one leg behind and across your body.  3. Lower into a lunge and return.  4. Alternate sides.,Intermediate,None,https://youtube.com/shorts/12mTqc2_3iY?si=fUFKwZsQEH2mWifl,
Prisoner Squat,Quadriceps,Stretching,5,"1. Stand with feet shoulder-width apart, hands behind your head.  2. Lower into a squat while keeping elbows back.  3. Push through heels to return up.  4. Keep torso upright.",Intermediate,None,https://youtube.com/shorts/QRaUlv4_uvs?si=7Al6yROw4QwC1ljZ,
Alligator Crawl,Abdominals,Cardio,5.5,1. Get into a low push-up position.  2. Move forward by stepping hands and dragging feet.  3. Keep hips low and core tight.  4. Move slowly with control.,Advanced,HIIT,https://youtu.be/akdcph3sLOs?si=vyN-t5huRowTvjsm,
Breakdancer,Full body,Cardio,5.5,1. Begin in tabletop position with knees hovering.  2. Rotate and kick one leg under your body.  3. Return and switch sides.  4. Use arms and core for balance.,Advanced,"Plyometric, HIIT",https://youtu.be/pmfEm0rHHhU?si=HKOxmqmiuNFPUPap,
Hand-Elevated Walk-Over Push-Up,Abdominals,Strength,5.5,"1. Place one hand on an elevated surface.  2. Do a push-up, then walk hands across to switch sides.  3. Repeat the motion.  4. Keep your body aligned throughout.",Advanced,None,https://youtu.be/gRRlZHSvmhU?si=EVcMgRrSrG4e6B_L,
Feet-Elevated Up-Down Plank,Abdominals,Core,5.5,1. Start in a feet-elevated straight-arm plank.  2. Lower one arm at a time to elbow plank.  3. Push back up to straight-arm plank.  4. Alternate lead arms while maintaining core engagement.,Advanced,Isometric Hold,https://youtu.be/QUT0oCfDD54?si=1O4AqwSQXnxkS72T,
Feet-Elevated Plank with Shoulder Tap,Abdominals,Core,5.5,1. Begin in a feet-elevated plank.  2. Tap opposite shoulder with one hand while stabilizing with the other.  3. Alternate sides.  4. Keep hips steady and core tight.,Advanced,Isometric Hold,https://youtu.be/_Jv8wBvoIiA?si=Posmbx_-wLRQt0We,
Feet-Elevated Plank Pike Pull,Abdominals,Core,5.5,1. Begin in feet-elevated plank position.  2. Pull hips upward into a pike shape.  3. Return to plank position.  4. Engage abs and avoid arching back.,Advanced,Isometric Hold,https://youtube.com/shorts/sOEvSOZdjCs?si=0t42HX1PEp87YkIl,
Straight Plank Pike to Renegade Row,Abdominals,Strength,5.5,1. Start in straight-arm plank.  2. Perform a pike by lifting hips.  3. Return to plank and perform a row with one arm.  4. Alternate arms and repeat.,Advanced,None,Link not available,
Alternating Hip Drop to Push-Up,Abdominals,Strength,5.5,1. Start in elbow plank.  2. Drop one hip toward the floor.  3. Return to center and perform a push-up.  4. Alternate sides with each rep.,Advanced,None,Link not available,
Groiners,Adductors,Cardio,5.5,1. Begin in plank position.  2. Jump both feet outside your hands.  3. Keep hips low and back flat.  4. Return to plank and repeat.,Intermediate,None,https://youtube.com/shorts/jd6pyTb4LQc?si=_MpCTYlLw0N-tVru,
Spider Plank Jack,Abdominals,Cardio,5.5,1. Begin in straight-arm plank.  2. Jump feet apart and bring one knee toward the outside elbow.  3. Return to plank and switch sides.  4. Maintain a steady pace.,Intermediate,HIIT,https://youtube.com/shorts/DeaGNpM9JDs?si=fBDXRhKuFkFUBbdX,
Ninja Knee Straight Plank,Abdominals,Core,5.5,"1. Start in straight-arm plank.  2. Jump both feet forward, bending knees under body.  3. Return to plank position.  4. Land softly and stay controlled.",Advanced,"Plyometric, HIIT",Link not available,
Floor Jack,Abdominals,Core,5.5,1. Lie on your back with arms and legs extended.  2. Simultaneously open arms and legs out wide.  3. Bring them back together.  4. Keep core engaged.,Intermediate,"Plyometric, HIIT",https://youtu.be/21uxLt2JR-0?si=yEwQCAIWgCNri-1s,
Towel Wide Hill Climber,Abdominals,Cardio,5.5,1. Start in plank with feet on towels or sliders.  2. Slide one foot forward and outward to the side.  3. Alternate legs.  4. Keep upper body steady.,Intermediate,HIIT,https://youtu.be/h6aWzLZeqoU?si=oBBl1E51y4i-6Bf6,
Straight Arm Plank Jack,Abdominals,Cardio,5.5,"1. Begin in straight-arm plank.  2. Jump legs apart, then back together.  3. Keep core tight and back flat.  4. Avoid letting hips rise.",Intermediate,"Plyometric, HIIT",https://youtu.be/gMbfip1t4kY?si=Vcq5-JU26sp4K6vj,
Straight Plank Jack,Abdominals,Cardio,5.5,1. Start in a straight-arm plank.  2. Jump feet out and in like a jumping jack.  3. Keep hips level and core tight.  4. Control movement.,Intermediate,"Plyometric, HIIT",https://youtube.com/shorts/SrJ4oxBqItE?si=rQ1HrUQgHL-VcVKm,
Squat Tap to Hop,Quadriceps,Cardio,5.5,"1. Begin in a squat position.  2. Tap the floor with one hand.  3. Jump upward, then return to squat.  4. Repeat alternating sides.",Intermediate,"Plyometric, HIIT",Link not available,
Plank Walk-Out,Abdominals,Core,5.5,"1. Stand tall, then bend at hips and walk hands out to plank.  2. Hold briefly, then walk hands back to standing.  3. Keep core engaged throughout.",Beginner,None,https://youtube.com/shorts/1Io65hkxP4w?si=ePMN0Ml3XixlE7ws,
Frog Kick,Abdominals,Core,5.5,1. Start in elbow plank.  2. Jump both feet forward outside your elbows.  3. Jump back to starting plank.  4. Land softly and control the motion.,Intermediate,None,Link not available,
Chest Push-Up To Isometric Hold,Chest,Strength,5.5,1. Start in plank and lower into a push-up.  2. Hold the bottom position briefly.  3. Push back up to plank.  4. Keep core tight and back flat.,Intermediate,Isometric Hold,https://youtube.com/shorts/liMTDAfz3FI?si=VVvfPCkqgjmO-QPF,
Push-up to Down Dog,Chest,Strength,5.5,1. Perform a push-up.  2. Shift hips back into Downward Dog.  3. Return to plank and repeat.  4. Keep shoulders active and spine long.,Intermediate,None,https://youtube.com/shorts/Et2clZ5XOFM?si=kDJI5NdbKG9e9fyU,
Alternating Curtsy Lunge with High Knee,Quadriceps,Cardio,5.5,1. Step one leg diagonally behind into a curtsy lunge.  2. Push off and lift the knee up in front.  3. Alternate sides.  4. Engage core for balance.,Intermediate,None,https://youtu.be/aMQ4UFDMogo?si=FItEaAklgT0gum6D,
Plank Push-Up,Abdominals,Strength,5.5,1. Begin in elbow plank.  2. Push up to straight-arm plank one arm at a time.  3. Lower back to elbows.  4. Alternate lead arm each time.,Intermediate,None,https://youtube.com/shorts/mHzGyMLN144?si=kgJcvh2YSMxxLqN5,
Dive-Bomber,Lower Back,Strength,5.5,1. Start in Downward Dog.  2. Lower chest and scoop forward into Upward Dog.  3. Reverse the movement to return.  4. Flow smoothly through the motion.,Intermediate,None,https://youtube.com/shorts/bQ9XsG8KeOA?si=IV17qnnBzeCw2AvP,
Sumo Squat Pulse,Quadriceps,Strength,5.5,1. Stand with feet wide and toes turned out.  2. Lower into a squat and pulse up and down.  3. Stay low and keep chest lifted.  4. Maintain tension in thighs and glutes.,Beginner,None,https://youtu.be/nULGYHHw1tw?si=CsPgemHjAGCtKdQh,
Alternating Up-Down Plank to Push-Up,Abdominals,Strength,5.5,1. Start in elbow plank.  2. Push up to straight-arm plank and perform a push-up.  3. Return to elbow plank.  4. Alternate leading arm.,Intermediate,None,https://youtu.be/56vUOad6Irs?si=O7poqnJNtHPLJS_8,
Forward-To-Reverse Lunge,Quadriceps,Stretching,5.5,1. Step one leg forward into a lunge.  2. Push back and immediately step the same leg into a reverse lunge.  3. Alternate legs.  4. Keep torso upright.,Intermediate,None,https://youtube.com/shorts/HDfT6w6IUdo?si=GxqKJL11lQERMigt,
Lunge kick,Glutes,Strength,5.5,1. Step back into a reverse lunge.  2. Push off front foot and kick the back leg forward.  3. Return to lunge and repeat.  4. Alternate sides.,Intermediate,"Plyometric, HIIT",https://youtu.be/HSu25lXUXS0?si=jkwtLZ6lsL8I9kk9,
Down Up,Quadriceps,Strength,5.5,"1. Begin in standing position.  2. Squat down and place hands on the floor.  3. Jump feet back to plank, then return and stand.  4. Repeat quickly with control.",Intermediate,"Plyometric, HIIT",https://youtube.com/shorts/v0-55pmSJP0?si=npyjbFXMR5noX1jR,
Walking lunge,Glutes,Strength,5.5,1. Step forward into a lunge.  2. Bring rear leg forward into next lunge.  3. Keep alternating legs while moving forward.  4. Maintain upright posture.,Intermediate,None,https://youtu.be/tQNktxPkSeE?si=XxDhqsPj2a8z_Xcp,
Walking Lunge with Twist,Quadriceps,Strength,5.5,1. Step forward into a lunge.  2. Rotate torso toward the front leg.  3. Return to center and step forward.  4. Alternate legs and twists.,Intermediate,None,https://youtu.be/OQ68cByBTxQ?si=AHW4AePW9XPWTm4Z,
Alternating Split Squat,Quadriceps,Strength,5.5,"1. Start in a split stance.  2. Lower into a squat, then switch legs mid-air.  3. Land softly in opposite split stance.  4. Repeat while maintaining control.",Intermediate,None,https://youtu.be/lPZDkI73D7I?si=lUZFNy381c6-r74E,
Straight-arm plank with kick-back,Triceps,Core,5.5,1. Begin in plank.  2. Lift one leg and extend it backward.  3. Lower and switch sides.  4. Keep hips level and abs tight.,Intermediate,None,https://youtube.com/shorts/3eS275R4ir0?si=mHGtTb6KkiIBKxkx,
Traveling Bear Crawl,Full body,Cardio,6,1. Start on all fours with knees slightly off ground.  2. Move opposite hand and foot forward.  3. Continue crawling while keeping back flat.  4. Stay low and controlled.,Advanced,HIIT,https://youtu.be/Vwe6Ki4Ao-U?si=O4oSFiBmXvi3NHnc,
Linear Acceleration Wall Drill,Hamstrings,Cardio,6,"1. Stand at a 45-degree angle facing a wall.  2. Drive knees up one at a time rapidly.  3. Use quick, powerful motions.  4. Maintain strong posture.",Intermediate,"Plyometric, HIIT",https://youtube.com/shorts/eeqZSZlpDi8?si=03_wnnfatgjrKOlA,
Line-Drill Foot Work,Abdominals,Cardio,6,1. Stand with a line beneath your feet.  2. Rapidly step over and back across the line.  3. Stay light on your toes.  4. Focus on quick feet.,Intermediate,"Plyometric, HIIT",Link not available,
Wide Mountain Climber,Abdominals,Cardio,6,1. Start in plank.  2. Drive knees outside toward elbows alternately.  3. Keep hips low and core tight.  4. Maintain a quick tempo.,Intermediate,HIIT,https://youtube.com/shorts/i3vBHapkqcM?si=4XLKBKXISdBc_i2M,
Hill Climber,Abdominals,Cardio,6,1. Start in plank.  2. Drive knees toward chest in a running motion.  3. Maintain strong core engagement.  4. Keep shoulders over wrists.,Beginner,HIIT,https://youtube.com/shorts/5hmOtXAofpk?si=x5XA3lTpZ6BRx--n,
Hands-Elevated Split Jack,Abdominals,Cardio,6,1. Place hands on an elevated surface.  2. Jump feet apart and together quickly.  3. Keep body stable.  4. Focus on fast footwork.,Beginner,"Plyometric, HIIT",Link not available,
Ninja Crawl,Hamstrings,Cardio,6,"1. Begin in low bear crawl position.  2. Move forward with low, quiet steps.  3. Stay close to the ground.  4. Engage your core and move with control.",Advanced,None,Link not available,
Lateral Speed Step,Quadriceps,Cardio,6,1. Stand beside a step or line.  2. Step quickly over and back with both feet.  3. Keep knees bent and body low.  4. Focus on speed and control.,Intermediate,"Plyometric, HIIT",https://youtu.be/h-X7UV-lMzA?si=s71ROTXJLJJsbAnI,
Slow Jog,Quadriceps,Cardio,6,1. Begin jogging in place or forward.  2. Keep light on your feet.  3. Maintain a relaxed rhythm.  4. Breathe evenly and stay loose.,Beginner,None,https://youtube.com/shorts/S3s7E6Nb3AY?si=cz2WJGK-FJoId07J,
Quick Leap,Quadriceps,Cardio,6,1. Stand with feet hip-width apart.  2. Leap forward quickly.  3. Land softly and reset.  4. Use arms for momentum.,Intermediate,"Plyometric, HIIT",https://youtu.be/7IUw1ukWbxU?si=aMcV51NT8UKEHJ1T,
Lateral Shuffle,Quadriceps,Cardio,6,1. Bend knees slightly and assume athletic stance.  2. Shuffle side to side.  3. Stay low and quick.  4. Keep feet off the ground as much as possible.,Intermediate,"Plyometric, HIIT",https://youtube.com/shorts/O9zzo7oiyK4?si=DLQ6ZlQckPqlC8Jv,
Towel Reverse Plank Jack,Abdominals,Core,6,1. Sit and extend legs with hands behind hips.  2. Lift hips into a reverse plank.  3. Jump feet apart and together while maintaining position.  4. Keep hips elevated and core tight.,Intermediate,"Plyometric, HIIT",Link not available,
Bear Crawl Fire Feet,Abdominals,Cardio,6.5,1. Start in a bear crawl with knees off the floor.  2. Rapidly alternate foot taps in place.  3. Stay low and controlled.  4. Keep back flat and core engaged.,Advanced,HIIT,https://youtu.be/vSCTz5aN-io?si=xaVhK1IHUK2JAgp7,
Hands Down Heel Click,Abdominals,Cardio,6.5,1. Stand with feet hip-width apart.  2. Jump and click heels together in air.  3. Tap hands down as you land.  4. Reset and repeat.,Advanced,"Plyometric, HIIT",Link not available,
